NO,NAME,CODE,LAST DONE,VOL ('00),CODE2
35,BIOHLDG,0179.KL,0.22,"6,813",0179.KL
7,AEMULUS,0181.KL,1.03,"45,730",0181.KL
83,ESAFE,0190,0.315,"9,115",0190.KL
33,BINACOM,0195.KL,0.345,"5,706",0195.KL
99,GDB,0198,0.43,"7,987",0198.KL
4,ACO,0218.KL,0.26,"2,231",0218.KL
16,ANEKA,0226.KL,0.245,"1,990",0226.KL
94,FLEXI,0231,0.325,"2,580",0231.KL
12,AMPROP,1007.KL,0.885,"1,431",1007.KL
39,BSTEAD,2771.KL,0.565,"7,723",2771.KL
14,ANCOM,4758.KL,1.9,"26,254",4758.KL
28,AYS,5021.KL,0.665,"45,021",5021.KL
10,AIRASIA,5099.KL,0.905,"67,022",5099.KL
26,AXREIT,5106.KL,1.9,991,5106.KL
9,AFUJIYA,5198.KL,0.425,949,5198.KL
24,AWANTEC,5204.KL,0.845,"6,046",5204.KL
31,BAUTO,5248.KL,1.55,"3,347",5248.KL
37,BPLANT,5254.KL,0.58,"25,614",5254.KL
5,ADVCON,5281.KL,0.33,"2,736",5281.KL
11,AME,5293.KL,1.53,"5,355",5293.KL
8,AEON,6599.KL,1.49,"9,123",6599.KL
34,BINTAI,6998.KL,0.56,"299,144",6998.KL
32,BIG,7005.KL,1.24,"13,152",7005.KL
13,AMTEL,7031.KL,0.79,"1,627",7031.KL
29,AZRB,7078.KL,0.235,"1,246",7078.KL
23,ATTA,7099.KL,0.47,"1,081",7099.KL
27,AXTERIA,7120.KL,0.24,"1,100",7120.KL
3,ACME,7131.KL,0.225,"5,524",7131.KL
41,CAELY,7154.KL,0.33,"2,697",7154.KL
22,ASTINO,7162.KL,0.64,"7,029",7162.KL
2,ABLEGLOB,7167.KL,1.65,"4,169",7167.KL
40,CAB,7174.KL,0.46,"1,050",7174.KL
18,ARBB,7181.KL,0.255,"35,707",7181.KL
6,ADVENTA,7191.KL,1.3,"23,659",7191.KL
17,ARANK,7214.KL,0.63,"3,698",7214.KL
25,AWC,7579.KL,0.49,"3,100",7579.KL
38,BRAHIMS,9474.KL,0.26,"1,446",9474.KL
