NO,NAME,CODE,LAST DONE,VOL ('00)
149,EKOVEST ,8877,0.405,"53,939"
150,ELSOFT ,90,0.845,"5,427"
151,EMETALL ,7217,0.62,"3,998"
152,EMICO ,9091,0.44,"359,158"
153,ENCORP ,6076,0.31,"6,734"
154,ENGTEX ,5056,0.645,"14,588"
155,EPMB ,7773,0.51,"7,529"
156,ESAFE ,190,0.35,"37,000"
157,EUPE ,6815,0.835,"13,719"
158,EURO ,7208,0.74,"19,609"
159,EVERGRN ,5101,0.42,"14,512"
160,EWEIN ,7249,0.375,"49,560"
161,EWINT ,5283,0.525,"13,578"
162,F&N ,3689,27.52,"1,088"
163,FAJAR ,7047,0.775,"9,311"
164,FAST ,84,0.205,"5,905"
165,FGV ,5222,1.39,"6,712"
166,FIAMMA ,6939,0.655,"8,152"
167,FIHB ,8605,0.635,"26,282"
168,FITTERS ,9318,0.325,"47,399"
169,FLEXI ,231,0.375,"2,666"
170,FOCUSP ,157,0.76,"1,749"
171,FPGROUP ,5277,0.795,"14,142"
172,FPI ,9172,4.07,"9,456"
173,FREIGHT ,7210,0.835,"45,372"
174,FRONTKN ,128,3.57,"57,222"
175,G3 ,7184,0.11,"64,790"
176,GADANG ,9261,0.385,"7,668"
177,GAMUDA ,5398,3.08,"50,756"
178,GBGAQRS ,5226,0.55,"25,802"
179,GCAP ,7676,0.68,"20,227"
180,GCB ,5102,2.93,"5,877"
181,GDB ,198,0.49,"15,247"
182,GDEX ,78,0.31,"6,027"
183,GENETEC ,104,31.24,"1,392"
184,GENP ,2291,7.43,"2,849"
185,GESHEN ,7197,2.05,"6,206"
186,GETS ,5079,2.05,605
187,GFM ,39,0.25,"45,714"
188,GHLSYS ,21,1.89,"1,374"
189,GIIB ,7192,0.195,"143,370"
190,GKENT ,3204,0.735,"2,830"
191,GLBHD ,7382,0.455,589
192,GLOMAC ,5020,0.345,"7,041"
193,GLOTEC ,5220,0.605,"23,523"
194,GMUTUAL ,9962,0.315,"1,981"
195,GOB ,1147,0.31,"13,874"
196,GOCEAN ,74,0.035,"95,604"
197,GOPENG ,2135,0.53,"1,612"
198,GPHAROS ,5649,0.39,"6,252"
199,GREATEC ,208,6.94,"22,184"
200,GREENYB ,136,0.31,"38,942"
201,GTRONIC ,7022,2.11,"13,623"
202,GUH ,3247,0.505,"21,871"
203,HAILY ,237,0.56,"3,200"
204,HANDAL ,7253,0.23,580
205,HARBOUR ,2062,0.99,"20,158"
206,HARNLEN ,7501,1.35,"16,652"
207,HARTA ,5168,6.42,"110,469"
208,HCK ,7105,1.95,"2,448"
209,HENGYUAN ,4324,4.06,"3,377"
210,HEVEA ,5095,0.495,"4,355"
211,HEXIND ,161,0.305,"20,662"
212,HEXTAR ,5151,1.27,"15,982"
213,HHGROUP ,175,0.525,"3,431"
214,HHHCORP ,160,0.155,"62,696"
215,HIAPTEK ,5072,0.61,"478,695"
216,HIBISCS ,5199,0.65,"45,334"
217,HIGHTEC ,7033,2.31,"121,354"
218,HIL ,8443,1.03,"4,522"
219,HLT ,188,0.68,"37,585"
220,HOHUP ,5169,0.405,955
221,HOMERIZ ,5160,0.58,"1,605"
222,HONGSENG ,41,1.96,"33,465"
223,HOOVER ,7010,0.81,"1,340"
224,HPMT ,5291,0.61,"32,579"
225,HPPHB ,228,0.5,"2,691"
226,HSPLANT ,5138,2.05,"2,305"
227,HSSEB ,185,0.535,936
228,HTPADU ,5028,1.34,"1,964"
229,HUAYANG ,5062,0.295,"1,138"
230,HUBLINE ,7013,0.04,"3,398"
231,HUPSENG ,5024,0.945,803
232,HWATAI ,8478,0.905,"27,393"
233,HWGB ,9601,0.28,"224,961"
234,IBHD ,4251,0.285,"1,503"
235,ICON ,5255,0.1,"76,778"
236,ICONIC ,9113,0.47,"23,271"
237,IFCAMSC ,23,0.34,"5,555"
238,IHH ,5225,6.61,"310,213"
239,IJM ,3336,1.92,"41,172"
240,ILB ,5614,0.455,"1,189"
241,IMASPRO ,7222,2,"1,230"
242,INARI ,166,3.5,"69,891"
243,INIX ,94,0.125,"85,945"
244,INNATURE ,5295,0.69,"2,814"
245,INNO ,6262,1.29,"6,620"
246,INTA ,192,0.275,930
247,IOICORP ,1961,3.98,"18,126"
248,IOIPG ,5249,1.3,"4,657"
249,IPMUDA ,5673,1.26,"2,241"
250,IQGROUP ,5107,1.77,"10,872"
251,IQZAN ,7183,0.11,"29,306"
252,IREKA ,8834,0.615,"6,469"
253,IRIS ,10,0.235,"45,726"
254,ITRONIC ,9393,0.185,"258,258"
255,IVORY ,5175,0.145,"1,300"
256,IWCITY ,1589,0.39,"7,629"
257,JADEM ,7043,0.515,"1,350"
258,JADI ,7223,0.105,"91,654"
259,JAG ,24,0.365,"140,310"
260,JAKS ,4723,0.5,"181,465"
261,JAYCORP ,7152,1.7,"1,349"
262,JCY ,5161,0.345,"15,823"
263,JETSON ,9083,0.36,"24,574"
264,JFTECH ,146,1.38,"22,996"
265,JHM ,127,2.02,"26,191"
266,JIANKUN ,8923,0.315,"13,671"
267,JKGLAND ,6769,0.11,"1,173"
268,JTIASA ,4383,0.67,"56,576"
269,K1 ,111,0.265,"18,643"
270,KAB ,193,0.39,"44,865"
271,KAMDAR ,8672,0.27,"2,119"
272,KANGER ,170,0.065,"2,780,260"
273,KAREX ,5247,0.48,"7,533"
274,KARYON ,54,0.3,"137,153"
275,KAWAN ,7216,1.8,947
276,KEINHIN ,7199,0.945,890
277,KERJAYA ,7161,1.23,"3,583"
278,KEYASIC ,143,0.135,"44,050"
279,KFIMA ,6491,1.95,"1,448"
280,KGB ,151,1.33,"34,722"
281,KGROUP ,36,0.03,"8,651"
282,KHIND ,7062,4.81,"8,900"
283,KHJB ,210,0.275,"22,728"
284,KIALIM ,6211,0.51,"1,685"
285,KIMLUN ,5171,0.84,"2,920"
286,KLCC ,5235SS,6.6,"7,995"
287,KLK ,2445,21.2,"4,751"
288,KMLOONG ,5027,1.5,"1,151"
289,KNUSFOR ,5035,0.725,"1,425"
290,KOBAY ,6971,5.23,"11,178"
291,KOMARK ,7017,0.11,"108,496"
292,KOSSAN ,7153,2.88,"83,987"
293,KOTRA ,2,2.89,"2,052"
294,KPJ ,5878,1.1,"20,029"
295,KPOWER ,7130,0.78,"48,341"
296,KPPROP ,7077,0.835,"3,027"
297,KPS ,5843,0.77,"2,961"
298,KRONO ,176,0.63,"14,755"
299,KSL ,5038,0.635,"10,025"
300,KSSC ,5192,0.87,"12,562"
301,KTB ,4847,0.175,"49,854"
302,KUB ,6874,0.63,"7,819"
303,KYM ,8362,0.555,"204,598"
304,L&G ,3174,0.12,"15,668"
305,LAGENDA ,7179,1.48,"12,378"
306,LAYHONG ,9385,0.29,"2,930"
307,LBALUM ,9326,0.68,"126,550"
308,LBICAP ,8494,0.63,"4,228"
309,LBS ,5789,0.465,"4,480"
310,LCTITAN ,5284,2.59,"18,207"
311,LFECORP ,7170,0.15,"7,875"
312,LIIHEN ,7089,3.13,"1,044"
313,LIONIND ,4235,0.615,"47,512"
314,LIONPSIM ,8486,0.645,530
315,LITRAK ,6645,3.85,"1,524"
316,LKL ,182,0.215,"65,285"
317,LOTUS ,8303,0.235,502
318,LSTEEL ,9881,0.685,"3,472"
