Ticker,Description,Change,Change %,Last,1-Month High,3-Month High,52 Week High,All Time High,Rating,Volume,Market Capitalization,Sector
LIIHEN,LII HEN INDUSTRIES BHD,-0.01,-0.33222591,3,3.23,3.29,4.86,4.86,Strong Sell,28500,541799952,Consumer Durables
LIONIND,LION INDUSTRIES CORPORATION,0.005,0.94339623,0.535,0.65,0.65,1,3.1,Sell,1311000,360826141,Non-Energy Minerals
LIONPSIM,LION POSIM BERHAD,0.06,10.16949153,0.65,0.68,0.71,0.86,4.16,Buy,28100,134417769,Non-Energy Minerals
LITRAK,LINGKARAN TRANS KOTA HOLDINGS,0,0,3.79,3.87,3.87,4.23,6.15,Buy,58500,2019572172,Transportation
LKL,LKL INTERNATIONAL BERHAD,-0.01,-5.55555556,0.17,0.245,0.345,1.24,2.02,Strong Sell,5792300,139159913,Health Technology
LOTUS,LOTUS KFM BERHAD,0,0,0.22,0.24,0.25,0.315,1.921111,Strong Sell,58000,224174467,Process Industries
LPI,LPI CAPITAL BHD,-0.02,-0.14245014,14.02,14.08,14.08,14.3,17.5,Strong Buy,8600,5593293815,Finance
LSH,LIM SEONG HAI CAPITAL BERHAD,0,0,0.35,0.35,0.35,0.35,0.35,Buy,0,,Finance
LSTEEL,LEADER STEEL HOLDINGS BHD,-0.01,-1.6,0.615,0.71,0.71,0.855,1.19,Strong Sell,41300,84082851,Non-Energy Minerals
LTKM,LTKM BHD,-0.01,-0.90909091,1.09,1.27,1.27,1.27,2.443331,Sell,30000,157425402,Process Industries
LUSTER,LUSTER INDUSTRIES BHD,-0.005,-3.84615385,0.125,0.155,0.19,0.295,0.646863,Strong Sell,6103900,376085892,Producer Manufacturing
LUXCHEM,LUXCHEM CORPORATION BHD,-0.01,-1.33333333,0.74,0.815,0.815,1.01,1.47,Sell,645100,802399567,Process Industries
LYC,LYC HEALTHCARE BERHAD,0.005,1.96078431,0.26,0.315,0.37,0.395,0.69,Sell,655000,110039066,Technology Services
LYSAGHT,LYSAGHT GALVANIZED STEEL BHD,0,0,2.1,2.18,2.36,2.45,6.47,Neutral,0,87318000,Non-Energy Minerals
M&G,MARINE & GENERAL BERHAD,0.005,6.25,0.085,0.135,0.145,0.23,1.7,Sell,334400,57910297,Industrial Services
M3TECH,M3 TECHNOLOGIES(ASIA)BHD,0.005,9.09090909,0.06,0.065,0.08,0.145,22.750001,Buy,202200,49149432,Communications
MAA,MAA GROUP BERHAD,0,0,0.69,0.74,0.77,1.09,26.75,Sell,61300,181975244,Miscellaneous
MACPIE,MACPIE BERHAD,0,0,0.115,0.12,0.12,0.85,1.341661,Buy,4671000,108838798,Consumer Services
MAG,MAG HOLDINGS BERHAD,0.005,2.94117647,0.175,0.19,0.215,0.235,7.400148,Neutral,3088100,236864995,Communications
MAGNA,MAGNA PRIMA BHD,0,0,0.52,0.53,0.58,0.95,1.69,Neutral,0,172966104,Finance
MAGNI,MAGNI-TECH INDUSTRIES BHD,0.01,0.4784689,2.1,2.25,2.34,2.66,2.97,Sell,109300,905911700,Process Industries
MAGNUM,MAGNUM BERHAD,-0.02,-0.98522167,2.01,2.1,2.1,2.37,4.108911,Sell,464500,2946659443,Consumer Services
MAHSING,MAH SING GROUP BHD,-0.01,-1.4084507,0.7,0.835,0.86,1.47,2.253324,Strong Sell,3119600,1723658420,Producer Manufacturing
MALAKOF,MALAKOFF CORPORATION BERHAD,-0.01,-1.20481928,0.82,0.88,0.885,0.95,1.91,Sell,787900,4056177497,Utilities
MALPAC,MALPAC HOLDINGS BHD,0,0,1.25,1.29,1.39,1.75,2.05,Buy,0,93750000,Process Industries
MALTON,MALTON BHD,-0.005,-1.02040816,0.485,0.515,0.515,0.55,1.94,Sell,237200,258788881,Miscellaneous
MANULFE,MANULIFE HOLDINGS BERHAD,0,0,2.39,2.46,2.46,2.61,21,Buy,200,505626506,Finance
MARCO,MARCO HOLDINGS BHD,0,0,0.145,0.15,0.16,0.175,0.44,Buy,140000,152874494,Distribution Services
MASTEEL,MALAYSIA STEEL WORKS (KL)BHD,0.015,3.65853659,0.425,0.555,0.56,0.905,1.4,Sell,3054200,278434991,Non-Energy Minerals
MASTER,MASTER-PACK GROUP BERHAD,-0.01,-0.57142857,1.74,1.87,1.92,2.06,3.2,Sell,118500,95585265,Process Industries
MATANG,MATANG BERHAD,0,0,0.09,0.1,0.1,0.14,0.155,Strong Sell,14036300,195480030,Process Industries
MATRIX,MATRIX CONCEPTS HOLDINGS BHD,0.01,0.49261084,2.04,2.11,2.12,2.16,2.3,Sell,159700,1693491669,Finance
MAXIM,MAXIM GLOBAL BERHAD,0,0,0.255,0.285,0.285,0.36,1.707414,Sell,209400,319432100,Non-Energy Minerals
MAXIS,MAXIS BERHAD,0,0,4.55,4.78,4.79,5.3,7.32,Sell,1020900,35609534525,Communications
MAYBANK,MALAYAN BANKING BHD,-0.02,-0.249066,8.01,8.4,8.5,9.01,11.08,Strong Sell,8490700,93897500139,Finance
MAYBULK,MALAYSIAN BULK CARRIERS BHD,0.005,0.70921986,0.71,0.77,0.77,0.855,5.45,Buy,7243600,704999983,Transportation
MBL,MUAR BAN LEE GROUP BERHAD,-0.005,-1.02040816,0.485,0.56,0.6,0.705,0.8,Sell,32000,102196756,Producer Manufacturing
MBMR,MBM RESOURCES BHD,0.01,0.31545741,3.18,3.31,3.31,3.73,4.47,Sell,46100,1239113927,Retail Trade
MBSB,MALAYSIA BUILDING SOCIETY BHD,0.005,0.82644628,0.61,0.645,0.655,0.77,5.128146,Sell,2418100,4338747888,Miscellaneous
MCEHLDG,MCE HOLDINGS BERHAD,-0.01,-0.69444444,1.43,1.64,1.64,1.88,2.48,Neutral,68900,77369912,Distribution Services
MCEMENT,MALAYAN CEMENT BERHAD,-0.01,-0.33444816,2.98,3.13,3.13,3.3,11.2,Buy,376500,3917502976,Non-Energy Minerals
MCLEAN,MCLEAN TECHNOLOGIES BERHAD,-0.01,-2.7027027,0.36,0.42,0.51,0.715,0.715,Strong Sell,1349100,72968804,Commercial Services
MCOM,MCOM HOLDINGS BERHAD,0,0,0.005,0.125,0.175,0.345,0.405,Sell,0,942800,Commercial Services
MCT,MCT BERHAD,0,0,0.205,0.24,0.24,0.355,50,Sell,902900,298684071,Finance
MEDIA,MEDIA PRIMA BHD,-0.01,-2.02020202,0.485,0.625,0.625,0.75,3.2,Sell,339900,549053619,Consumer Services
MEDIAC,MEDIA CHINESE INTERNATIONAL LT,0,0,0.18,0.185,0.195,0.235,3.7,Sell,470000,303702529,Consumer Services
MEGASUN,MEGA SUN CITY HOLDINGS BERHAD,0,0,0.125,0.135,0.155,0.2,3.5,Sell,52600,68314240,Industrial Services
MELATI,MELATI EHSAN HOLDINGS BHD,0,0,0.565,0.6,0.72,0.855,1.78,Sell,0,65769522.00000000,Industrial Services
MELEWAR,MELEWAR INDUSTRIAL GROUP BHD,0.02,5,0.42,0.545,0.585,0.78,3.195,Sell,2014900,143767080,Non-Energy Minerals
MENANG,MENANG CORPORATION (M) BHD,-0.01,-1.69491525,0.58,0.635,0.635,0.635,0.738888,Buy,853200,283671656,Finance
MENTIGA,MENTIGA CORPORATION BHD,0.01,1.47058824,0.69,0.775,0.98,1.17,1.31,Sell,46400,47600001,Non-Energy Minerals
MERCURY,MERCURY INDUSTRIES BHD,-0.02,-1.81818182,1.08,1.28,1.46,1.46,2.56,Sell,14000,48620220,Process Industries
MERIDIAN,MERIDIAN BERHAD,-0.005,-3.03030303,0.16,0.19,0.205,0.475,0.86,Strong Sell,301500,124324131,Finance
MESB,MESB BHD,0.015,2.91262136,0.53,0.58,0.58,0.63,1.519998,Strong Buy,2061000,55764198,Retail Trade
MESTRON,MESTRON HOLDINGS BERHAD,-0.005,-1.47058824,0.335,0.35,0.415,0.46,0.46,Neutral,3054300,316353007,Producer Manufacturing
METROD,METROD HOLDINGS BERHAD,-0.02,-1.42857143,1.38,1.53,1.54,2.12,4.16,Sell,8500,167999997,Producer Manufacturing
MFCB,MEGA FIRST CORPORATION BHD,-0.04,-1.0989011,3.6,3.72,3.72,4.05,4.05,Buy,1013900,3448379778,Utilities
MFLOUR,MALAYAN FLOUR MILLS BHD,-0.01,-1.34228188,0.735,0.86,0.86,1.06,1.838074,Sell,1726400,759641728,Process Industries
MGB,MGB BERHAD,0,0,0.765,0.86,0.9,1.05,100,Sell,7000,383764223,Non-Energy Minerals
MGRC,MSIAN GENOMICS RES CENTRE BHD,0.03,1.3215859,2.3,2.6,2.6,2.6,2.6,Neutral,9539700,281957787,Commercial Services
