NO,NAME,CODE,LAST DONE,VOL ('00),STOCK
562,ROHAS,9741,0.315,"18,935",9741.KL
563,RSAWIT,5113,0.215,"6,124",5113.KL
564,RUBEREX,7803,0.6,"45,205",7803.KL
565,RVIEW,2542,-,-,2542.KL
566,S&FCAP,8745,-,-,8745.KL
567,SAB,5134,3.79,10,5134.KL
568,SALCON,8567,0.21,"3,112",8567.KL
569,SALUTE,183,0.65,"24,274",0183.KL
570,SAM,9822,20.04,"3,690",9822.KL
571,SAMAIDEN,223,1.04,"6,140",0223.KL
572,SANICHI,133,0.035,"9,995",0133.KL
573,SAPIND,7811,0.76,421,7811.KL
574,SAPNRG,5218,0.1,"2,055,689",5218.KL
575,SAPRES,4596,-,-,4596.KL
576,SASBADI,5252,0.155,"13,804",5252.KL
577,SAUDEE,5157,0.075,"25,856",5157.KL
578,SBCCORP,5207,0.39,250,5207.KL
579,SCABLE,5170,0.365,"10,540",5170.KL
580,SCBUILD,109,0.09,"14,137",0109.KL
581,SCGM,7247,2.4,"4,087",7247.KL
582,SCIB,9237,0.4,"258,385",9237.KL
583,SCIENTX,4731,4.55,"10,931",4731.KL
584,SCNWOLF,7239,0.44,"32,040",7239.KL
585,SCOMIES,7045,0.07,660,7045.KL
586,SCOMNET,0001,1.76,"9,695",0001.KL
587,SCOPE,0028,0.345,"267,882",0028.KL
588,SDRED,2224,0.585,88,2224.KL
589,SDS,212,0.34,"2,167",0212.KL
590,SEACERA,7073,0.185,698,7073.KL
591,SEAL,4286,0.335,"1,915",4286.KL
592,SEALINK,5145,0.165,"32,669",5145.KL
593,SEDANIA,178,0.62,"31,965",0178.KL
594,SEEHUP,7053,1.06,895,7053.KL
595,SEERS,3009,-,-,3009.KL
596,SEG,9792,-,-,9792.KL
597,SENDAI,5205,0.205,"4,823",5205.KL
598,SERBADK,5279,0.305,"1,011,250",5279.KL
599,SERNKOU,7180,0.56,"12,325",7180.KL
600,SERSOL,0055,0.445,"34,299",0055.KL
601,SGBHD,3033,-,-,3033.KL
602,SHCHAN,4316,0.565,328,4316.KL
603,SHH,7412,-,-,7412.KL
604,SIGN,7246,0.925,"27,010",7246.KL
605,SIME,4197,2.26,"34,592",4197.KL
606,SIMEPLT,5285,3.64,"74,975",5285.KL
607,SIMEPROP,5288,0.645,"5,152",5288.KL
608,SJC,9431,2.51,500,9431.KL
609,SKBSHUT,7115,1.77,"1,073",7115.KL
610,SKPRES,7155,1.79,"32,614",7155.KL
611,SLIC,3008,-,-,3008.KL
612,SLP,7248,0.965,"2,352",7248.KL
613,SLVEST,215,1.26,"29,744",0215.KL
614,SMCAP,9776,0.225,"15,843",9776.KL
615,SMETRIC,203,0.125,"17,437",0203.KL
616,SMI,4375,0.19,"4,965",4375.KL
617,SMILE,3023,-,-,3023.KL
618,SMISCOR,7132,0.715,"5,747",7132.KL
619,SMRT,117,0.135,"1,113",0117.KL
620,SMTRACK,169,0.095,"39,030",0169.KL
621,SNC,7943,1.21,"41,980",7943.KL
622,SOLID,5242,0.245,"18,307",5242.KL
623,SOLUTN,0093,0.67,"12,508",0093.KL
624,SOP,5126,3.59,821,5126.KL
625,SPRING,216,0.235,"5,250",0216.KL
626,SPRITZER,7103,2.05,108,7103.KL
627,SPSETIA,8664,1.23,"44,313",8664.KL
628,SRIDGE,129,0.205,"1,341",0129.KL
629,STAR,6084,0.345,"1,160",6084.KL
630,STELLA,5006,0.93,549,5006.KL
631,STRAITS,0080,0.175,"36,526",0080.KL
632,SUCCESS,7207,0.925,"16,635",7207.KL
633,SUMATEC,1201,-,-,1201.KL
634,SUNCON,5263,1.61,862,5263.KL
635,SUNSURIA,3743,0.45,320,3743.KL
636,SUNWAY,5211,1.72,"5,259",5211.KL
637,SUNZEN,148,0.23,"22,852",0148.KL
638,SUPERLN,7235,0.905,745,7235.KL
639,SUPERMX,7106,2.34,"114,664",7106.KL
640,SUPREME,3018,-,-,3018.KL
641,SURIA,6521,1.25,"59,761",6521.KL
642,SWKPLNT,5135,2.42,505,5135.KL
643,SWSCAP,7186,0.45,"1,510",7186.KL
644,SYF,7082,0.43,"52,038",7082.KL
645,SYMLIFE,1538,0.615,"213,714",1538.KL
646,SYSCORP,5173,0.34,"35,512",5173.KL
647,SYSTECH,0050,0.215,"17,807",0050.KL
648,T7GLOBAL,7228,0.33,"20,749",7228.KL
649,TAANN,5012,2.98,"18,809",5012.KL
650,TAFI,7211,2.67,"172,136",7211.KL
651,TAKAFUL,6139,4.19,"1,962",6139.KL
652,TALAMT,2259,0.025,"5,300",2259.KL
653,TALIWRK,8524,0.82,"3,771",8524.KL
654,TAMBUN,5191,0.75,929,5191.KL
655,TANCO,2429,0.24,"173,497",2429.KL
656,TASHIN,211,0.55,"8,435",0211.KL
657,TAWIN,7097,0.135,"242,800",7097.KL
658,TCS,221,0.435,"7,114",0221.KL
659,TDEX,132,0.15,"1,624",0132.KL
660,TDM,2054,0.24,"15,775",2054.KL
661,TECHNAX,2739,0.08,"53,049",2739.KL
662,TEKSENG,7200,0.44,"6,117",7200.KL
663,TELADAN,230,0.645,"31,154",0230.KL
664,TENAGA,5347,9.6,"69,890",5347.KL
665,TEOSENG,7252,0.725,887,7252.KL
666,TEXCYCL,0089,0.425,"1,290",0089.KL
667,TFP,145,0.1,"111,634",0145.KL
668,TGL,9369,1.11,421,9369.KL
669,TGUAN,7034,2.63,"5,149",7034.KL
670,THETA,9075,1,"341,869",9075.KL
671,THHEAVY,7206,0.09,"66,003",7206.KL
672,THPLANT,5112,0.56,"18,031",5112.KL
673,THRIVEN,7889,0.15,"1,399",7889.KL
674,TIGER,7079,0.045,"16,879",7079.KL
675,TIMECOM,5031,4.6,"7,673",5031.KL
676,TIMWELL,7854,0.59,305,7854.KL
677,TITIJYA,5239,0.315,"4,766",5239.KL
678,TJSETIA,5297,0.515,920,5297.KL
679,TM,4863,5.71,"45,967",4863.KL
680,TMCLIFE,0101,0.565,730,0101.KL
681,TOCEAN,7218,3.68,"1,200",7218.KL
682,TOMYPAK,7285,0.545,"2,728",7285.KL
683,TONGHER,5010,2.87,191,5010.KL
684,TOPBLDS,5268,0.06,"101,163",5268.KL
685,TOPGLOV,7113,2.7,"171,579",7113.KL
686,TOPVISN,3013,-,-,3013.KL
687,TOYOVEN,7173,2.01,"1,525",7173.KL
688,TPC,7176,-,-,7176.KL
689,TRC,5054,0.35,"3,584",5054.KL
690,TRIMODE,199,0.685,"9,209",0199.KL
691,TROP,5401,1.05,"2,502",5401.KL
692,TSH,9059,1.13,"13,527",9059.KL
693,TSRCAP,5042,0.24,"8,254",5042.KL
694,TTV,3020,-,-,3020.KL
695,UCHITEC,7100,3.08,"8,552",7100.KL
696,UCREST,0005,0.25,"152,488",0005.KL
697,UEMS,5148,0.365,"22,576",5148.KL
698,ULICORP,7133,1.46,"62,432",7133.KL
699,UMCCA,2593,5.1,40,2593.KL
700,UMS,7137,2.37,11,7137.KL
701,UMSNGB,7227,1.28,"1,926",7227.KL
702,UMW,4588,3.11,"2,847",4588.KL
703,UNIMECH,7091,-,-,7091.KL
704,UNISEM,5005,8.45,"12,652",5005.KL
705,UNIWALL,3017,-,-,3017.KL
706,UOADEV,5200,1.69,"5,617",5200.KL
707,UPA,7757,2.3,20,7757.KL
708,UTAMA,3043,-,-,3043.KL
709,UTDPLT,2089,13.7,"1,475",2089.KL
710,UWC,5292,5.99,"13,502",5292.KL
711,UZMA,7250,0.585,"13,706",7250.KL
712,VC,0060,0.075,101,0060.KL
713,VELESTO,5243,0.14,"64,218",5243.KL
714,VERSATL,4995,0.55,410,4995.KL
715,VERTICE,7240,0.285,"3,718",7240.KL
716,VINVEST,0069,0.405,"70,099",0069.KL
717,VIS,120,1.44,"33,775",0120.KL
718,VITROX,0097,19.94,"2,918",0097.KL
719,VIZIONE,7070,0.125,"21,471",7070.KL
720,VOLCANO,232,0.495,"15,664",0232.KL
721,VS,6963,1.59,"90,287",6963.KL
722,VSOLAR,0066,0.01,"84,742",0066.KL
723,VSTECS,5162,1.35,"3,303",5162.KL
724,WAJA,0102,0.155,"70,108",0102.KL
725,WARISAN,5016,1.32,7,5016.KL
726,WASEONG,5142,0.68,"6,784",5142.KL
727,WATTA,7226,0.595,798,7226.KL
728,WCT,9679,0.65,"194,732",9679.KL
729,WEGMANS,197,0.28,"14,063",0197.KL
730,WELLCAL,7231,1.04,"7,249",7231.KL
731,WIDAD,0162,0.385,"325,926",0162.KL
732,WONG,7050,1.67,"47,122",7050.KL
733,WOODLAN,7025,0.73,231,7025.KL
734,WPRTS,5246,4.4,"15,967",5246.KL
735,WTHORSE,5009,0.71,692,5009.KL
736,WTK,4243,0.45,"4,835",4243.KL
737,WZSATU,7245,0.14,"1,268",7245.KL
738,XINHWA,5267,0.365,"14,810",5267.KL
739,XL,7121,0.685,"28,355",7121.KL
740,Y&G,7003,1.25,"2,774",7003.KL
741,YBS,0025,0.35,"27,029",0025.KL
742,YGL,0086,0.2,"1,200",0086.KL
743,YINSON,7293,5.51,"32,152",7293.KL
744,YKGI,7020,0.175,"10,465",7020.KL
745,YLI,7014,0.325,"10,572",7014.KL
746,YNHPROP,3158,2.64,394,3158.KL
747,YOCB,5159,1.09,31,5159.KL
748,YONGTAI,7066,0.14,"61,370",7066.KL
749,YSPSAH,7178,2.05,321,7178.KL
750,ZECON,7028,0.45,"13,607",7028.KL
751,ZELAN,2283,0.125,"83,312",2283.KL
752,ZHULIAN,5131,1.86,182,5131.KL
